run_id,date,who,what_changed,main_metric,value,seed,notes,stage,model,n_features,n_train,n_test
R033,2026-09-12,Naman,size_only / global_mean,MAE,11.0785,4,"RMSE 13.530, R2 -0.0000, MAE exterior 10.155 / interior 13.472",size_only,global_mean,2,31441,7861
R034,2026-09-12,Naman,size_only / size_mean,MAE,8.8658,4,"RMSE 10.856, R2 0.3562, MAE exterior 7.240 / interior 13.078",size_only,size_mean,2,31441,7861
R035,2026-09-12,Naman,planning / size_mean,MAE,5.9191,4,"RMSE 7.283, R2 0.7103, MAE exterior 5.933 / interior 5.884",planning,size_mean,3,31441,7861
R036,2026-09-12,Naman,planning / linear,MAE,5.9188,4,"RMSE 7.283, R2 0.7103, MAE exterior 5.932 / interior 5.885",planning,linear,3,31441,7861
R037,2026-09-12,Naman,planning / gbm,MAE,5.9189,4,"RMSE 7.283, R2 0.7103, MAE exterior 5.933 / interior 5.882",planning,gbm,3,31441,7861
R038,2026-09-12,Naman,onsite / size_mean,MAE,2.4046,4,"RMSE 3.011, R2 0.9505, MAE exterior 2.397 / interior 2.424",onsite,size_mean,6,31441,7861
R039,2026-09-12,Naman,onsite / linear,MAE,2.4036,4,"RMSE 3.010, R2 0.9505, MAE exterior 2.396 / interior 2.422",onsite,linear,6,31441,7861
R040,2026-09-12,Naman,onsite / gbm,MAE,2.4048,4,"RMSE 3.011, R2 0.9505, MAE exterior 2.398 / interior 2.424",onsite,gbm,6,31441,7861
R041,2026-09-12,Naman,size_only / global_mean,MAE,11.2177,5,"RMSE 13.692, R2 -0.0001, MAE exterior 10.220 / interior 13.796",size_only,global_mean,2,31441,7861
R042,2026-09-12,Naman,size_only / size_mean,MAE,8.9302,5,"RMSE 10.911, R2 0.3649, MAE exterior 7.280 / interior 13.192",size_only,size_mean,2,31441,7861
R043,2026-09-12,Naman,planning / size_mean,MAE,5.8363,5,"RMSE 7.207, R2 0.7229, MAE exterior 5.828 / interior 5.856",planning,size_mean,3,31441,7861
R044,2026-09-12,Naman,planning / linear,MAE,5.8372,5,"RMSE 7.208, R2 0.7229, MAE exterior 5.828 / interior 5.861",planning,linear,3,31441,7861
R045,2026-09-12,Naman,planning / gbm,MAE,5.8354,5,"RMSE 7.207, R2 0.7229, MAE exterior 5.828 / interior 5.855",planning,gbm,3,31441,7861
R046,2026-09-12,Naman,onsite / size_mean,MAE,2.3945,5,"RMSE 2.994, R2 0.9522, MAE exterior 2.409 / interior 2.357",onsite,size_mean,6,31441,7861
R047,2026-09-12,Naman,onsite / linear,MAE,2.3947,5,"RMSE 2.994, R2 0.9522, MAE exterior 2.409 / interior 2.357",onsite,linear,6,31441,7861
R048,2026-09-12,Naman,onsite / gbm,MAE,2.3948,5,"RMSE 2.994, R2 0.9522, MAE exterior 2.409 / interior 2.357",onsite,gbm,6,31441,7861
R049,2026-09-12,Naman,size_only / global_mean,MAE,11.063,6,"RMSE 13.573, R2 -0.0001, MAE exterior 10.003 / interior 13.769",size_only,global_mean,2,31441,7861
R050,2026-09-12,Naman,size_only / size_mean,MAE,8.988,6,"RMSE 10.986, R2 0.3449, MAE exterior 7.252 / interior 13.419",size_only,size_mean,2,31441,7861
R051,2026-09-12,Naman,planning / size_mean,MAE,5.8902,6,"RMSE 7.285, R2 0.7119, MAE exterior 5.881 / interior 5.913",planning,size_mean,3,31441,7861
R052,2026-09-12,Naman,planning / linear,MAE,5.8883,6,"RMSE 7.283, R2 0.7121, MAE exterior 5.878 / interior 5.913",planning,linear,3,31441,7861
R053,2026-09-12,Naman,planning / gbm,MAE,5.8905,6,"RMSE 7.285, R2 0.7119, MAE exterior 5.881 / interior 5.914",planning,gbm,3,31441,7861
R054,2026-09-12,Naman,onsite / size_mean,MAE,2.3968,6,"RMSE 2.997, R2 0.9513, MAE exterior 2.383 / interior 2.431",onsite,size_mean,6,31441,7861
R055,2026-09-12,Naman,onsite / linear,MAE,2.3961,6,"RMSE 2.997, R2 0.9513, MAE exterior 2.383 / interior 2.429",onsite,linear,6,31441,7861
R056,2026-09-12,Naman,onsite / gbm,MAE,2.3968,6,"RMSE 2.997, R2 0.9512, MAE exterior 2.383 / interior 2.432",onsite,gbm,6,31441,7861
R057,2026-09-12,Naman,size_only / global_mean,MAE,11.2261,7,"RMSE 13.778, R2 -0.0002, MAE exterior 10.158 / interior 13.946",size_only,global_mean,2,31441,7861
R058,2026-09-12,Naman,size_only / size_mean,MAE,8.9787,7,"RMSE 11.001, R2 0.3624, MAE exterior 7.249 / interior 13.381",size_only,size_mean,2,31441,7861
