stage,model,n_seeds,mae_mean,mae_std,mae_min,mae_max,rmse_mean,rmse_std,rmse_min,rmse_max,r2_mean,r2_std,r2_min,r2_max
size_only,global_mean,10,11.1515,0.0616,11.063,11.2261,13.6259,0.0789,13.5304,13.7782,-0.0001,0.0001,-0.0002,-0.0
size_only,size_mean,10,8.9219,0.0666,8.8168,9.0265,10.9145,0.0673,10.8181,11.0165,0.3583,0.0059,0.3449,0.3649
planning,size_mean,10,5.8966,0.038,5.8363,5.966,7.2762,0.0434,7.207,7.3601,0.7148,0.0039,0.7103,0.7229
planning,linear,10,5.8968,0.0379,5.8372,5.9661,7.2766,0.0433,7.2079,7.3613,0.7148,0.0039,0.7103,0.7229
planning,gbm,10,5.8964,0.0382,5.8354,5.9661,7.2765,0.0433,7.2072,7.3606,0.7148,0.0039,0.7103,0.7229
onsite,size_mean,10,2.3972,0.0144,2.375,2.4224,2.9971,0.0163,2.9745,3.0229,0.9516,0.0007,0.9504,0.9525
onsite,linear,10,2.3965,0.0145,2.3742,2.4209,2.9963,0.0166,2.9724,3.0225,0.9516,0.0007,0.9504,0.9526
onsite,gbm,10,2.3974,0.0144,2.3751,2.4227,2.9972,0.0163,2.9754,3.023,0.9516,0.0007,0.9504,0.9525
